,Title,Price,Rating,Colors,Size,Gender,Extraction Timestamp
1,T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-12 23:12:51
2,Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-12 23:12:51
3,Pants 4,7476960.0,3.3,3,XL,Men,2025-05-12 23:12:51
4,Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-12 23:12:51
5,Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-12 23:12:51
6,Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-12 23:12:51
7,T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-12 23:12:51
8,Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-12 23:12:51
9,Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-12 23:12:51
11,Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-12 23:12:51
12,Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-12 23:12:51
13,T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-12 23:12:51
14,Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-12 23:12:51
16,Outerwear 17,841600.0,3.8,3,M,Women,2025-05-12 23:12:51
17,Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-12 23:12:51
18,Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-12 23:12:51
19,T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-12 23:12:51
21,Pants 22,4319680.0,4.9,3,M,Men,2025-05-12 23:12:51
22,Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-12 23:12:51
23,Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-12 23:12:51
24,Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-12 23:12:51
25,T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-12 23:12:51
26,Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-12 23:12:51
27,Pants 28,5216160.0,4.0,3,L,Men,2025-05-12 23:12:51
28,Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-12 23:12:51
29,Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-12 23:12:51
31,T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-12 23:12:51
32,Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-12 23:12:51
33,Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-12 23:12:51
34,Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-12 23:12:51
35,Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-12 23:12:51
36,Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-12 23:12:51
37,T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-12 23:12:51
38,Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-12 23:12:51
39,Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-12 23:12:51
41,Jacket 42,6744160.0,3.7,3,M,Unisex,2025-05-12 23:12:51
42,Crewneck 43,2909600.0,4.5,3,L,Men,2025-05-12 23:12:51
43,T-shirt 44,3312320.0,3.0,3,XL,Women,2025-05-12 23:12:51
44,Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-05-12 23:12:51
46,Outerwear 47,6364640.0,3.2,3,M,Women,2025-05-12 23:12:51
47,Jacket 48,4994720.0,3.4,3,L,Unisex,2025-05-12 23:12:51
48,Crewneck 49,1071200.0,4.0,3,XL,Men,2025-05-12 23:12:51
49,T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-05-12 23:12:51
51,Pants 52,1596480.0,4.0,3,M,Men,2025-05-12 23:12:51
52,Outerwear 53,4470880.0,4.3,3,L,Women,2025-05-12 23:12:51
53,Jacket 54,854560.0,4.2,3,XL,Unisex,2025-05-12 23:12:51
54,Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-05-12 23:12:51
55,T-shirt 56,4643040.0,3.8,3,S,Women,2025-05-12 23:12:51
56,Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-05-12 23:12:51
57,Pants 58,1637760.0,4.4,3,L,Men,2025-05-12 23:12:51
58,Outerwear 59,2254240.0,4.6,3,XL,Women,2025-05-12 23:12:51
59,Jacket 60,3375520.0,4.2,3,XXL,Unisex,2025-05-12 23:12:51
61,T-shirt 62,1376480.0,3.8,3,M,Women,2025-05-12 23:12:51
62,Hoodie 63,6479200.0,3.6,3,L,Unisex,2025-05-12 23:12:51
63,Pants 64,7728480.0,4.0,3,XL,Men,2025-05-12 23:12:51
64,Outerwear 65,2385920.0,4.1,3,XXL,Women,2025-05-12 23:12:51
65,Jacket 66,4353120.0,3.5,3,S,Unisex,2025-05-12 23:12:51
66,Crewneck 67,8470720.0,3.5,3,M,Men,2025-05-12 23:12:51
67,T-shirt 68,8025280.0,4.0,3,L,Women,2025-05-12 23:12:51
68,Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2025-05-12 23:12:51
69,Pants 70,1171360.0,4.4,3,XXL,Men,2025-05-12 23:12:51
71,Jacket 72,3776000.0,4.4,3,M,Unisex,2025-05-12 23:12:51
72,Crewneck 73,2460320.0,3.0,3,L,Men,2025-05-12 23:12:51
73,T-shirt 74,7704800.0,3.8,3,XL,Women,2025-05-12 23:12:51
74,Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2025-05-12 23:12:51
76,Outerwear 77,861760.0,3.7,3,M,Women,2025-05-12 23:12:51
77,Jacket 78,2716480.0,4.3,3,L,Unisex,2025-05-12 23:12:51
78,Crewneck 79,3309600.0,4.6,3,XL,Men,2025-05-12 23:12:51
79,T-shirt 80,4178399.9999999995,4.5,3,XXL,Women,2025-05-12 23:12:51
81,Pants 82,8315520.0,4.8,3,M,Men,2025-05-12 23:12:51
82,Outerwear 83,3947840.0,3.7,3,L,Women,2025-05-12 23:12:51
83,Jacket 84,2826080.0,4.8,3,XL,Unisex,2025-05-12 23:12:51
84,Crewneck 85,4564160.0,3.5,3,XXL,Men,2025-05-12 23:12:51
